year,file,cluster,value
1985,85103102DN.txt,organizations,University Hospital
1987,87020517DN.txt,organizations,University of Nairobi
1987,87111121DN.txt,organizations,University of Nairobi
1988,88020512DN.txt,organizations,University of Nairobi
1988,88022906DN.txt,organizations,University of California
1988,88042428SN.txt,organizations,University of Cairo
1988,88042428SN.txt,organizations,Kinshasa University Clinic
1988,88062303DN.txt,organizations,University of Kinshasa
1988,88062817DN.txt,organizations,University of Zambia
1988,88120201DN.txt,organizations,University of Nairobi Medical School
1989,89040304DNSA.txt,organizations,University of Nairobi Dr. Dorothy Kinuthia
1989,89080919DN.txt,organizations,Kenyatta University
1989,89091107DN.txt,organizations,University of Nairobi
1989,89091118DN.txt,organizations,University School of Journalism
1989,89091217DN.txt,organizations,Association of Medical Students University of Nairobi
1989,89092106DN.txt,organizations,Cheikh Anta Diop University
1989,89112519DNSA.txt,organizations,University of Nairobi
1989,89120127DN.txt,organizations,University of Nairobi Medical School
1989,89120310SN.txt,organizations,St Pierre University
1989,89121215DN.txt,organizations,University of NairobiÃ”Ã¸Î©s College of Health Sciences
1989,89121215DN.txt,organizations,University of Nairobi
1990,90020128DN.txt,organizations,University Of Nairobi's Medical Micro-Biology Department
1990,90020228DN.txt,organizations,University Of Nairobi's Medical Micro-Biology Department
1990,90042713DN.txt,organizations,University of Addis Ababa
1990,90042713DN.txt,organizations,Aga Khan University
1990,90042713DN.txt,organizations,Aga Khan University Hospital
1990,90042713DN.txt,organizations,University of Nairobi
1990,90070709DNSA.txt,organizations,University of Manchester
1990,90092705DN.txt,organizations,University of Nairobi
1990,90092705DN.txt,organizations,University of Indiana
1990,90100232DN.txt,organizations,University of Nairobi
1991,91030104FM copy.txt,organizations,Shanghai Medical University
1991,91030104FM.txt,organizations,Shanghai Medical University
1991,91061624SN copy.txt,organizations,University of Nairobiâ€_Ã„Ã´s Insurance Students
1991,91061624SN copy.txt,organizations,University of Nairobi
1991,91061624SN.txt,organizations,University of Nairobiâ€_Ã„Ã´s Insurance Students
1991,91061624SN.txt,organizations,University of Nairobi
1991,91061724SN copy.txt,organizations,University of Nairobi's Insurance Students
1991,91061724SN copy.txt,organizations,University of Nairobi
1991,91061724SN.txt,organizations,University of Nairobi's Insurance Students
1991,91061724SN.txt,organizations,University of Nairobi
1991,91062702DN copy.txt,organizations,Mb Sukhadia University
1991,91062702DN.txt,organizations,Mb Sukhadia University
1991,91072216DN copy.txt,organizations,Tahokn University
1991,91072216DN.txt,organizations,Tahokn University
1991,91081208DN copy.txt,organizations,Muhimbili University College of Health
1991,91081208DN.txt,organizations,Muhimbili University College of Health
1991,91100316DN copy.txt,organizations,University of Nairobi's Medical School
1991,91100316DN.txt,organizations,University of Nairobi's Medical School
1991,91102207DN copy.txt,organizations,Tahokn University
1991,91102207DN.txt,organizations,Tahokn University
1992,92021627SN.txt,organizations,University of Nairobi
1992,92060503FM.txt,organizations,University of California
1992,92060703FM.txt,organizations,University of California
1992,92071709DN.txt,organizations,Tokyo Medical and Dental University
1992,92111103WM.txt,organizations,University of California
1992,92147008DN.txt,organizations,University of California
1993,01DN201093.txt,organizations,University of Nairobi's Microbiology Department
1993,02DN201093.txt,organizations,University of Mannitoba
1993,04SN070293.txt,organizations,University of Nairobi's Community Health Department
1993,07SN040493.txt,organizations,Belfast University
1993,09LS190993.txt,organizations,University of Nairobi
1993,09LS190993.txt,organizations,Moi University
1993,16DN121193.txt,organizations,University of Nairobi
1993,28DN260393.txt,organizations,University of California
1993,32DN181193.txt,organizations,Moi University
1993,93100205DN.txt,organizations,University of Nairobi
1994,94020807DN.txt,organizations,University of Nairobi
1994,94070702SS.txt,organizations,University of Minnesota
1994,94071009SN.txt,organizations,Maseno University College
1994,94072005DN.txt,organizations,Kenyatta University
1994,94080506DN.txt,organizations,Johns Hopkins University
1994,94081807DN.txt,organizations,University of Nairobi
1995,95010804LS.txt,organizations,Daystar University
1995,95010804LS.txt,organizations,University of Nairobi students Aids Control Association
1995,95010804LS.txt,organizations,University of Nairobi
1995,95021601SS.txt,organizations,University of Manitoba
1995,95021601SS.txt,organizations,University of Nairobi
1995,95052356DN.txt,organizations,Harvard University
1995,95052504DN.txt,organizations,University of California
1995,95060911WM.txt,organizations,Daystar University
1995,95060911WM.txt,organizations,University of Nairobi students Aids Control Association
1995,95060911WM.txt,organizations,University of Nairobi
1995,95062304FM.txt,organizations,Daystar University
1995,95062304FM.txt,organizations,University of Nairobi students Aids Control Association
1995,95062304FM.txt,organizations,University of Nairobi
1995,95081517DN.txt,organizations,University of Nairobi
1995,95081718DN.txt,organizations,University of California
